"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO32725"|"3900217"|"20170810"|"20170810"|"PO32725"|"20170720"|"FO20170720_PO32725"|"FUNKY BOX"|"RB3A019451"|"FUNKY BOX-8718347900182-Scatola Fucsia con Cuore Bianco"|"0000000002"|"0000000002"
"PO32725"|"3900217"|"20170810"|"20170810"|"PO32725"|"20170720"|"FO20170720_PO32725"|"FUNKY BOX"|"RB3A019452"|"FUNKY BOX-8718347900113-Scatola Funky Box Grigio con Stella Bianca"|"0000000006"|"0000000006"
"PO32725"|"3900217"|"20170810"|"20170810"|"PO32725"|"20170720"|"FO20170720_PO32725"|"FUNKY BOX"|"RB3A019528"|"FUNKY BOX-8718347900250-Scatola Boys Rule"|"0000000002"|"0000000002"
"PO32725"|"3900217"|"20170810"|"20170810"|"PO32725"|"20170720"|"FO20170720_PO32725"|"FUNKY BOX"|"RB3A019532"|"FUNKY BOX-8718347900069-Scatola Baby Blue Red Star"|"0000000002"|"0000000002"
"PO32822"|"3896217"|"20170810"|"20170810"|"PO32822"|"20170801"|"FO20170801_PO32822"|"Baby Elephant Ears"|"RB3A019595"|"BABY ELEPHANT EARS-1026-Baby Elephant Ears Cuscino Ergonomico con Macchinine"|"0000000004"|"0000000004"
"PO32847"|"3899217"|"20170810"|"20170810"|"PO32847"|"20170804"|"FO20170804_PO32847"|"Oribel"|"RB3A020958"|"ORIBEL-OR200-90006-Cocoon 3 Stage Highchair - Orange"|"0000000001"|"0000000001"
"PO32848"|"3897217"|"20170810"|"20170810"|"PO32848"|"20170807"|"FO20170807_PO32848"|"Oli and Carol"|"RB3A020918"|"OLI AND CAROL-OB-N-BARCA ORIGAMI ROSA ANTICO"|"0000000002"|"0000000002"
"PO32848"|"3897217"|"20170810"|"20170810"|"PO32848"|"20170807"|"FO20170807_PO32848"|"Oli and Carol"|"RB3A020920"|"OLI AND CAROL-ANA-S-ANA LA BANANA"|"0000000005"|"0000000005"
"RESO ORD. 31867"|"3901217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A017876"|"PLAY e GO-Color_your_map-Sacco Portagiochi Da Colorare"|"0000000000"|"0000000001"
"PO32725"|"3900217"|"20170810"|"20170810"|"PO32725"|"20170720"|"FO20170720_PO32725"|"FUNKY BOX"|"RB3A019450"|"FUNKY BOX-8718347900014-Scatola Bianco con Cuore Argentato"|"0000000002"|"0000000002"
"PO32725"|"3900217"|"20170810"|"20170810"|"PO32725"|"20170720"|"FO20170720_PO32725"|"FUNKY BOX"|"RB3A019454"|"FUNKY BOX-8718347900205-Scatola piccola Azzurro con Stella Bianca"|"0000000002"|"0000000002"
"PO32725"|"3900217"|"20170810"|"20170810"|"PO32725"|"20170720"|"FO20170720_PO32725"|"FUNKY BOX"|"RB3A019456"|"FUNKY BOX-8718347900168-Scatola Piccola Rosa con Cuore Bianco"|"0000000008"|"0000000008"
"PO32725"|"3900217"|"20170810"|"20170810"|"PO32725"|"20170720"|"FO20170720_PO32725"|"FUNKY BOX"|"RB3A019457"|"FUNKY BOX-8718347900120-Scatola Piccola Bianco con Stella Argento"|"0000000006"|"0000000006"
"PO32777"|"3898217"|"20170810"|"20170810"|"PO32777"|"20170727"|"FO20170727_PO32777"|"Charlie Banana"|"RB3A020831"|"CHARLIE BANANA-888443-Maglietta da mare Bianca-24-36 Mesi"|"0000000001"|"0000000001"
"PO32777"|"3898217"|"20170810"|"20170810"|""|"00000000"|"FO20170727_PO32777"|"Charlie Banana"|"RB3A021360"|"WOOLY ORGANIC-105-COMFORTER con anello legno - Teddy"|"0000000000"|"0000000002"
"PO32822"|"3896217"|"20170810"|"20170810"|"PO32822"|"20170801"|"FO20170801_PO32822"|"Baby Elephant Ears"|"RB3A019602"|"BABY ELEPHANT EARS-7005-Baby Elephant Ears Cuscino Ergonomico Luxe Rosa Pastello"|"0000000004"|"0000000004"
"PO32848"|"3897217"|"20170810"|"20170810"|"PO32848"|"20170807"|"FO20170807_PO32848"|"Oli and Carol"|"RB3A019795"|"OLI AND CAROL-BC-P-MACCHINA BEETLE PICCOLA ROSA"|"0000000002"|"0000000002"
"PO32725"|"3900217"|"20170810"|"20170810"|"PO32725"|"20170720"|"FO20170720_PO32725"|"FUNKY BOX"|"RB3A019448"|"FUNKY BOX-8718347900052-Scatola Azzurro con Stella Bianca"|"0000000006"|"0000000006"
"PO32725"|"3900217"|"20170810"|"20170810"|"PO32725"|"20170720"|"FO20170720_PO32725"|"FUNKY BOX"|"RB3A019449"|"FUNKY BOX-8718347900083-Scatola Rosa con Cuore Bianco"|"0000000002"|"0000000002"
