"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO32832"|"3905217"|"20170810"|"20170810"|"PO32832"|"20170803"|"FO20170803_PO32832"|"Up Warsaw"|"RB3A011032"|"UP WARSAW-Biplane Shelf dashy mint green-Mensola Biplano Verde menta"|"0000000001"|"0000000001"
"PO32834"|"3904217"|"20170810"|"20170810"|"PO32834"|"20170803"|"FO20170803_PO32834"|"elodie details"|"RB3A018196"|"ELODIE DETAILS-103785-MATERASSINO DA PASSEGGINO GRAPHIC DEVOTION"|"0000000003"|"0000000003"
"RESO ORD. 33633"|"3919217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A018630"|"CHEEKY CHOMPERS-CC040-DouDou con Giochino per la Dentizione Incorporato Red Stars"|"0000000000"|"0000000001"
"RESO ORD. 33633"|"3919217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A020515"|"MIAMI KIDS-D0734-1_RED-Scarpe Soft Sole Baby Bianche e Rosse-0-6 Mesi"|"0000000000"|"0000000001"
"RESO ORD. 33633"|"3919217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A020580"|"MIAMI KIDS-JYH-064-Body Salopette a Scacchi Rosa e Bianchi-9 Mesi"|"0000000000"|"0000000001"
"RESO ORD. 33643"|"3923217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A020224"|"NOPPIES-67355_C166-Body a Maniche Corte a Righe con Quadrifoglio Navy-56"|"0000000000"|"0000000001"
"RESO ORD. 34259"|"3920217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A012952"|"HAPPY HOPPERZ-HHZ11-Gonfiabile Cavalcabile Medium Dino Verde"|"0000000000"|"0000000001"
"RESO ORD. 34269"|"3916217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A011618"|"BIG MOUTH-BMPFGBG-Ciambellone gonfiabile XXL Orsetto Verde"|"0000000000"|"0000000001"
"RESO ORD. 34595"|"3908217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A014883"|"ROCKETBABY-RBP16346-Sacco Nanna Balena Blu Oceano"|"0000000000"|"0000000001"
"RICARICO ORD 33538A"|"3903217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A020001"|"IGOR SHOES-S10108-017-Sandali da Spiaggia Cholo Grigio-22"|"0000000000"|"0000000001"
