"SimEsiExpIDSimulazione"|"SimEsiExpDataSimulazione"|"SimEsiExpNumeroOrdine"|"SimEsiExpDataOrdine"|"SimEsiExpRigaOrdine"|"SimEsiExpRichArtCodice"|"SimEsiExpRichArtDescrizione"|"SimEsiExpRichQtaRichiesta"|"SimEsiExpRichQtaImpegnata"
"0000000524"|"20170801"|"#34805"|"20170731"|"0000000002"|"RB3A020026"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-29"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34805"|"20170731"|"0000000001"|"RB3A019992"|"IGOR SHOES-S10108-003-Sandali da Spiaggia Cholo Blu Navy-31"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34783"|"20170731"|"0000000001"|"RB3A020018"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-21"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34798"|"20170731"|"0000000001"|"RB3A010390"|"BABYCAR-500R-MERCEDES S 63 AMG ROSA"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34792"|"20170731"|"0000000001"|"RB3A021292"|"ANORAK-TB-HH-Borsa da Toeletta Grande Ricci"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34797"|"20170731"|"0000000001"|"RB3A020995"|"MINILAND-89160-Elefantino con Registratore Vocale BeMyBuddy"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34808"|"20170731"|"0000000001"|"RB3A018232"|"CHILDHOME-CWMBBBL-BORSA FASCIATOIO MAMMY BAG NERA"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34812"|"20170731"|"0000000001"|"RB3A020855"|"ALECTO-AL-BC17-Luce Cattura Insetti"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34811"|"20170731"|"0000000001"|"RB3A018233"|"CHILDHOME-CWMBBWH-BORSA FASCIATOIO MAMMY BAG BIANCA"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34813"|"20170731"|"0000000001"|"RBGIFT50"|"RocketBaby-GiftCard da 50�"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34758"|"20170730"|"0000000001"|"RB3A012346"|"CUPCAKE BABIES-VDBR06-Cappello Anti Schiuma Rosa"|"0000000002"|"0000000000"
"0000000524"|"20170801"|"#34770"|"20170730"|"0000000001"|"RB3A020049"|"IGOR SHOES-S10169-063-Sandali da Spiaggia Topolino-20"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34701"|"20170730"|"0000000001"|"RB3A021293"|"ANORAK-TB-WDB-Borsa da Toeletta Grande Oche"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34764"|"20170730"|"0000000001"|"RB3A015201"|"INNOBABY-IN-AQ-H01-Innobaby - AquaHeat - WARM Heat Pack - set of 6"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34764"|"20170730"|"0000000002"|"RB3A015198"|"INNOBABY-IN-AQ-B01-Innobaby - AquaHeat 10oz Stainless Bottle e Warmer"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34740"|"20170730"|"0000000001"|"RB3A018201"|"ELODIE DETAILS-103797-ZANZARIERA PER PASSEGGINO POIS"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34684"|"20170730"|"0000000001"|"RB3A020017"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-20"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34703"|"20170730"|"0000000001"|"RB3A018196"|"ELODIE DETAILS-103785-MATERASSINO DA PASSEGGINO GRAPHIC DEVOTION"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34700"|"20170730"|"0000000001"|"RB3A020362"|"IGOR SHOES-S10146-046-Sandali Bondi Bicolor Fucsia e Acquamarina-22"|"0000000001"|"0000000000"
"0000000524"|"20170801"|"#34762"|"20170730"|"0000000001"|"RB3A019998"|"IGOR SHOES-S10108-017-Sandali da Spiaggia Cholo Grigio-19"|"0000000001"|"0000000000"
