"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#34588"|"32833317"|"00000000000000358729"|"201705005303687"|"20170727"|"1"|"RB3A012456"|"VULLI-200319-Anello Dentizione morbido"|"0000000001"|"0000043.16"
"#34588"|"32833317"|"00000000000000358729"|"201705005303687"|"20170727"|"2"|"RB3A012457"|"VULLI-616324-Sophie la giraffa"|"0000000001"|"0000043.16"
"#34582"|"32834317"|"00000000000000358489"|"201705005303512"|"20170727"|"1"|"RB3A020989"|"MINILAND-89072-Borsa isotermica con 2 Contenitori Ermetici Blu"|"0000000001"|"0000037.44"
"#34582"|"32834317"|"00000000000000358489"|"201705005303512"|"20170727"|"2"|"RB3A020992"|"MINILAND-89071-Borsa isotermica con 2 Contenitori Ermetici Graduati Blu"|"0000000001"|"0000037.44"
"#34580"|"32835317"|"00000000000000358419"|"201705005303509"|"20170727"|"1"|"RB3A014098"|"NIKE-454501-PICO 4 (TDV) NERA 5C-EU21"|"0000000001"|"0000033.80"
"#34579"|"32836317"|"00000000000000358789"|"201705005303774"|"20170727"|"1"|"RB3A009819"|"FCTRY-GLSTA23-Occhiali da Sole Baby Rosa 0-2 anni"|"0000000001"|"0000048.82"
"#34579"|"32836317"|"00000000000000358789"|"201705005303774"|"20170727"|"2"|"RB3A011636"|"BIG MOUTH-BMBTDO-Telo da mare XXL Ciambella alla Fragola"|"0000000001"|"0000048.82"
"#34578"|"32837317"|"00000000000000358439"|"201705005303575"|"20170727"|"1"|"RB3A009884"|"A LITTLE LOVELY COMPANY-LTBX001-Box Lampada A5 per scritte"|"0000000001"|"0000030.76"
"#34575"|"32838317"|"00000000000000358779"|"201705005303827"|"20170727"|"1"|"RB3A009901"|"A LITTLE LOVELY COMPANY-LTCW025-Lampada Mini Nuvoletta Bianca"|"0000000001"|"0000100.92"
"#34575"|"32838317"|"00000000000000358779"|"201705005303827"|"20170727"|"2"|"RB3A009902"|"A LITTLE LOVELY COMPANY-LTCB024-Lampada Mini Nuvoletta Blu"|"0000000002"|"0000100.92"
