"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#35199"|"33481317"|"00000000000000365829"|"201705005313116"|"20170807"|"1"|"RB3A020686"|"MIAMI KIDS-CC00410-Tutina Intera a Maniche Corte Volpe-9 Mesi"|"0000000001"|"0000063.08"
"#35199"|"33481317"|"00000000000000365829"|"201705005313116"|"20170807"|"2"|"RB3A020671"|"MIAMI KIDS-SKW-105-RED-Tutina Intera a Maniche Corte Barchetta Pesciolino Rosso e Grigio-2 T"|"0000000001"|"0000063.08"
"#35199"|"33481317"|"00000000000000365829"|"201705005313116"|"20170807"|"3"|"RB3A020606"|"MIAMI KIDS-XTZ8208-Tutina senza Maniche a 2 Pezzi Squali-9 Mesi"|"0000000001"|"0000063.08"
"#35197"|"33482317"|"00000000000000365479"|"201705005312899"|"20170807"|"1"|"RB3A019520"|"DOODOO-121-BabiAge DooDoo 0121 coniglio a pois beige"|"0000000001"|"0000043.77"
"#35119"|"33500317"|"00000000000000365469"|"201705005312880"|"20170807"|"2"|"RB3A020596"|"MIAMI KIDS-SKW114-LEMON-Canotta senza Maniche Limoni-24 Mesi"|"0000000001"|"0000057.72"
"#35171"|"33486317"|"00000000000000366129"|"201705005313308"|"20170807"|"1"|"RB3A021221"|"NEW BALANCE-NBKL574CPC-Scarpa Kids Lifestyle PINK Leather W-2"|"0000000001"|"0000036.86"
"#35128"|"33496317"|"00000000000000365699"|"201705005312966"|"20170807"|"1"|"RB3A020509"|"MIAMI KIDS-DJ0670-2-Sneakers Soft Sole Righe Bianche e Navy-0-6 Mesi"|"0000000001"|"0000025.86"
"#35109"|"33505317"|"00000000000000365519"|"201705005312959"|"20170807"|"1"|"RB3A019975"|"BABY BANANA BRUSH-BR003-BBBT infant (handled) toothbrush"|"0000000001"|"0000019.86"
"#35099"|"33508317"|"00000000000000365109"|"201705005312650"|"20170807"|"1"|"RB3A014009"|"BLADEeROSE-5060257465903-Leggings Zap! (Atol) 0-6m"|"0000000001"|"0000065.74"
"#35099"|"33508317"|"00000000000000365109"|"201705005312650"|"20170807"|"3"|"RB3A013832"|"BLADEeROSE-5060257465651-Leggings Racing car 0-6m"|"0000000001"|"0000065.74"
