"SPE.SpeNumeroOrdine"|"SPE.SpeNumeroProtocollo"|"SPE.SpeEtichettaCollo"|"SPE.SpeTrackingNumero"|"SPE.SpeDataImport"|"SPE.SpeRigaOrdine"|"SPE.SpeArtCodice"|"SPE.SpeArtDescrizione"|"SPE.SpeArtQta"|"SPE,SpeCostoContrassegno"
"#33165"|"32196317"|"351539"|"201705005292307"|"20170719"|"2"|"RB3A010012"|"A LITTLE LOVELY COMPANY-PBWH001-Sacco Portaoggetti in Carta Bianco"|"1"|"29,82"
"#33165"|"32196317"|"351539"|"201705005292307"|"20170719"|"1"|"RB3A012798"|"TELLKIDDO-82-Sacco Portaoggetti Paper ABC"|"1"|"29,82"
"#33456"|"32184317"|"350499"|"201705005292319"|"20170719"|"1"|"RB3A020980"|"MAGIC BED-MB070-01-Mini Magic Bed Liberty"|"1"|"90,86"
"#34035"|"32214317"|"351439"|"201705005292309"|"20170719"|"2"|"RB3A011634"|"BIG MOUTH-BMPFWS-Ciambellone gonfiabile XXL Cigno bianco"|"1"|"0"
"#34035"|"32214317"|"351439"|"201705005292309"|"20170719"|"1"|"RB3A011749"|"IPANEMA-21970-Infradito Ipanema Unique Kid Bianco 29/30"|"1"|"0"
"#34035"|"32214317"|"351439"|"201705005292309"|"20170719"|"3"|"RB3A011633"|"BIG MOUTH-BMPFWA-Ciambellone gonfiabile XXL Anguria"|"1"|"0"
"#33318"|"32239317"|"351309"|"201705005292314"|"20170719"|"2"|"RB3A018741"|"LOLLIPOPS AND MORE-2952349927624-Lollipops and More Pacifier Tootzie Roll Clip Grey Green"|"1"|"0"
"#33318"|"32239317"|"351309"|"201705005292314"|"20170719"|"3"|"RB3A020740"|"BUMBO-BMB403-Rialzo da Pavimento e Rialzo da Sedia 2 in 1 Rosso"|"1"|"0"
"#33318"|"32239317"|"351309"|"201705005292314"|"20170719"|"1"|"RB3A018613"|"VULLI-220119-Set Cubotti e Palline per Dentizione da Mordere Sophie la Giraffa"|"1"|"0"
"#33318"|"32239317"|"351309"|"201705005292314"|"20170719"|"4"|"RB3A020858"|"LA MILLOU PARENTS PRIDE-HAT-G-DCW-Cappellino da Sole Regolabile Acchiappasogni Bianco"|"1"|"0"
"#33318"|"32239317"|"351309"|"201705005292314"|"20170719"|"5"|"RB3A021010"|"MOUTHIE MITTEN-MM01G-EU-Guantino Massaggia Gengive per la Dentizione Verde"|"1"|"0"
"#33932"|"32285317"|"351519"|"201705005292313"|"20170719"|"3"|"RB3A014894"|"ROCKETBABY-RBP16336-Scatola Portagiochi Balena"|"1"|"0"
"#33932"|"32285317"|"351519"|"201705005292313"|"20170719"|"1"|"RB3A013053"|"A LITTLE LOVELY COMPANY-LTSP030-Lampada Mini Stella Rosa"|"1"|"0"
"#33932"|"32285317"|"351519"|"201705005292313"|"20170719"|"2"|"RB3A010026"|"CHILDHOME-WODSTRP-Carrettino Primi Passi in MDF Rosa"|"1"|"0"
"#33932"|"32285317"|"351519"|"201705005292313"|"20170719"|"4"|"RB3A014895"|"ROCKETBABY-RBP16337-Scatola Portagiochi Coniglio"|"1"|"0"
"#34031"|"32215317"|"351459"|"201705005292308"|"20170719"|"3"|"RB3A011623"|"BIG MOUTH-BMPFCD-Ciambellone gonfiabile XXL Donut al cioccolato"|"1"|"0"
